100,AAC,47,1134
100,ABB,22,2057
100,ABC,64,271
100,ACA,95,5479
100,ACB,71,1347
100,ACC,100,11419
100,BAB,48,4406
100,BAC,70,11688
100,BBA,66,1564
100,BBB,79,1512
100,BBC,12,2597
100,BCA,75,8018
100,BCB,64,1389
100,BCC,68,3248
100,CAA,66,1698
100,CAB,68,1132
100,CAC,63,328
100,CBA,17,7911
100,CBB,49,5903
100,CCA,18,7621
100,CCB,22,7992
100,CCC,88,6359
102,CBC,15,1161
105,AAB,41,2040
108,AAA,57,3154
108,BAA,37,2816
116,ABA,80,527
135,ACA,56,5478
135,ACB,90,1332
135,ACC,17,11425
135,BAB,38,4403
135,BBA,26,1577
135,BBC,59,2589
135,BCB,78,1400
135,CAA,36,1681
135,CCC,72,6362
137,CBC,85,1158
144,AAA,90,3146
147,AAC,25,1134
148,BCA,45,8025
149,CBA,60,7922
158,CCA,55,7623
163,BAA,80,2808
170,BBC,77,2582
170,BCB,16,1403
170,CAA,4,1691
170,CCC,84,6361
174,CCB,43,7999
175,CAB,41,1131
176,BCC,71,3247
179,AAA,94,3157
180,ABA,13,519
182,AAC,11,1121
184,AAB,21,2025
188,ABC,25,267
190,ACB,60,1329
191,ABB,99,2037
191,CBC,96,1165
192,BBB,30,1507
193,BAB,64,4405
196,CBB,69,5903
197,CBA,1,7914
201,CAC,96,326
202,BCA,71,8035
204,BAC,11,11696
205,BBC,48,2582
205,CCC,52,6369
209,CCB,42,8009
210,BBA,44,1571
215,ABA,35,515
223,ABC,82,282
227,BBB,8,1511
228,BAB,53,4408
230,ABB,10,2044
230,CAB,97,1125
231,CBB,70,5916
239,AAB,27,2023
239,ACC,8,11409
239,BAC,42,11684
239,CAA,33,1683
240,BBC,74,2592
242,ACA,12,5492
244,CCA,3,7615
245,BBA,83,1561
246,BCB,73,1404
250,CCB,50,8026
251,BCC,29,3263
254,AAA,14,3147
254,BCA,88,8040
258,BAA,49,2821
263,BAB,100,4403
265,ABB,3,2049
265,CAB,87,1128
270,AAC,98,1118
271,CBC,46,1177
274,CAA,43,1680
275,AAB,51,2024
277,ACA,29,5487
279,CCA,10,7598
281,BCB,78,1414
283,CAC,89,334
285,CCB,7,8023
286,BCC,49,3270
296,ABC,31,296
297,ACB,98,1319
298,BAB,11,4409
298,BCA,96,8046
300,CBA,63,7898
304,ACC,20,11403
305,AAC,6,1110
312,BAC,76,11688
312,CBC,18,1182
312,CCC,50,6364
316,BBB,27,1507
318,CAC,27,320
323,BAA,70,2835
323,CAA,59,1666
324,AAA,31,3148
324,ABA,99,522
324,ACA,72,5501
332,ACB,26,1304
337,BBA,57,1547
337,CBB,73,5912
339,ACC,82,11390
340,AAC,83,1105
340,BAB,62,4404
347,CBC,100,1184
351,ABB,37,2057
351,BAC,53,11674
354,CCB,68,8024
355,AAB,30,2018
360,BBC,68,2606
365,BBB,89,1507
367,ACB,26,1297
369,CAC,87,330
370,CBA,26,7904
372,BBA,14,1537
375,BAB,75,4399
377,CAB,16,1124
378,ABA,54,514
381,AAA,10,3157
383,BCA,46,8056
384,BCC,26,3254
386,BAC,64,11677
387,ABB,78,2066
391,CCC,50,6370
396,CCA,18,7586
400,BBB,53,1504
401,BCB,20,1422
403,ACB,24,1299
404,ACC,68,11391
405,CAA,74,1672
407,BAA,79,2845
408,BBA,83,1527
409,CBB,71,5920
412,ABC,32,286
417,CAC,75,332
418,AAA,78,3156
419,BCC,91,3261
423,CBC,17,1189
426,BAB,96,4406
426,CCC,93,6371
427,BBC,14,2598
428,AAC,80,1089
433,CAB,45,1125
436,CCA,37,7577
438,AAB,79,2025
439,ACC,72,11399
440,ACA,28,5517
442,BAA,31,2859
442,BAC,73,11687
452,CAA,34,1680
457,ABC,90,302
458,CBC,61,1190
462,ACB,64,1285
462,BBC,13,2592
463,AAC,55,1071
464,CAC,56,343
466,CCB,32,8038
467,BBA,87,1521
471,ABB,2,2050
473,AAB,96,2032
477,BAC,90,11680
477,CBA,82,7893
489,CCA,18,7586
492,CBB,41,5912
493,CBC,100,1192
495,BCB,57,1427
497,ACB,74,1276
497,CAB,45,1134
498,ABA,76,523
499,CAC,53,356
501,BCA,95,8045
501,CCB,3,8039
503,ACA,2,5529
504,BAB,78,4412
509,BAA,44,2863
510,BBB,85,1500
512,CBA,76,7887
517,CCC,2,6375
523,AAA,83,3140
524,CAA,13,1666
524,CCA,34,7590
525,AAB,96,2023
525,ABC,34,297
528,CBC,94,1194
532,BCC,62,3261
534,BBC,100,2590
536,BCA,52,8047
536,CCB,77,8048
538,ABB,69,2050
545,BBB,27,1492
546,CBB,89,5908
547,CBA,36,7874
552,CAC,78,365
552,CCC,34,6365
558,ACC,40,11385
560,ABC,55,296
560,BAB,42,4400
561,ABA,53,537
563,CCA,44,7603
568,BAC,94,11680
569,BBC,34,2593
571,BBA,28,1515
571,BCA,51,8031
571,CCB,57,8034
573,ABB,6,2042
574,CAA,91,1674
577,AAC,32,1076
581,ACA,73,5535
582,BCB,79,1427
587,ACB,46,1273
596,ABA,2,551
597,BAA,96,2859
600,AAB,27,2028
603,BAC,33,11686
603,CAB,93,1131
604,BCC,7,3267
606,BBA,100,1520
606,CCB,20,8048
612,AAC,27,1069
616,ACA,16,5537
622,ACB,95,1268
624,CBB,30,5901
628,BAB,65,4391
629,CBC,96,1205
629,CCA,23,7587
631,ABA,98,542
633,AAA,16,3143
634,CAA,12,1684
638,BAC,62,11692
639,BCC,22,3260
641,CCB,9,8043
642,ACC,64,11371
649,CBA,3,7869
651,ACA,45,5542
657,CAC,71,363
658,CCC,28,6366
659,CBB,91,5898
663,BAB,1,4401
663,BBB,44,1491
667,BBC,15,2590
667,BCA,73,8029
669,CAA,57,1700
671,AAA,83,3152
674,ABB,28,2031
674,ABC,89,299
677,ACC,87,11374
677,CCB,15,8049
679,CBC,63,1204
685,CBA,55,7869
690,CAB,60,1142
694,BBA,37,1510
695,AAB,80,2031
695,AAC,97,1053
697,BCB,4,1424
698,BAB,27,4392
700,BAA,69,2868
701,BAC,7,11700
702,BBC,97,2584
702,BCA,75,8013
703,ACB,86,1278
707,BBB,59,1482
709,ABC,3,311
712,ACC,20,11360
712,CCB,54,8067
720,CBA,15,7870
721,BCC,66,3267
729,AAA,93,3154
732,BCB,87,1416
732,CAA,29,1692
734,CBC,20,1210
736,BAC,82,11695
737,BBC,37,2577
737,BCA,18,7996
738,ACB,69,1289
743,CBB,21,5898
745,ABA,8,554
745,CCC,81,6372
746,CCA,90,7580
754,BBA,36,1513
755,BAA,16,2868
755,BBB,94,1478
756,BCC,17,3265
769,ACA,87,5542
769,ACC,50,11358
771,CBA,53,7867
772,BBC,6,2591
774,BCA,51,7988
775,CAC,51,350
782,ABB,97,2045
785,CAA,33,1698
790,BBB,97,1475
794,CAB,74,1134
800,BAB,29,4398
803,AAB,53,2037
803,ABC,25,330
809,AAA,95,3153
810,AAC,33,1037
810,BAC,80,11698
811,CCB,63,8063
813,CBB,88,5904
815,BCC,8,3277
820,ACB,91,1278
820,CAA,88,1709
820,CCA,74,7572
822,CCC,54,6364
829,CAB,78,1140
831,BAA,88,2873
835,BAB,98,4388
845,AAC,80,1047
845,ACA,21,5540
845,BAC,39,11700
850,BCB,97,1419
852,CBC,38,1209
853,CAC,100,340
855,ACB,37,1276
855,CAA,67,1691
856,ABA,61,540
857,ABB,11,2032
859,ACC,15,11368
868,BBC,96,2584
868,CBA,18,7877
873,BBA,98,1525
875,CCC,25,6353
877,BBB,97,1479
880,BAC,4,11690
880,BCA,87,7990
886,AAB,10,2043
887,CBC,40,1221
887,CCA,21,7572
888,CAB,96,1130
890,ACB,31,1274
891,BAB,54,4391
892,ABB,4,2043
894,ABC,98,340
898,CBB,5,5917
906,BBC,63,2583
911,BAA,16,2874
912,BBB,51,1473
915,BAC,40,11679
915,BCA,19,7982
916,BCC,57,3275
919,AAA,71,3165
919,CBA,61,7862
922,CCA,65,7569
925,CAA,51,1691
926,BAB,37,4386
927,ABB,40,2057
927,CCB,48,8048
931,AAC,23,1053
938,CCC,59,6357
939,CAB,24,1141
952,ACB,76,1267
